,Unnamed: 0,time,open,high,low,close,volume,RSI_14,ema_4,ema_15,macd,macdSignal,macdHist
0,0,2022-09-11 01:51:00,21629.86,21647.21,21625.66,21639.08,386.0137,,,,,,
1,1,2022-09-11 01:54:00,21639.08,21671.32,21635.45,21651.54,557.57895,,,,,,
2,2,2022-09-11 01:57:00,21651.54,21653.39,21588.55,21610.85,698.62138,,,,,,
3,3,2022-09-11 02:00:00,21610.15,21610.85,21561.49,21568.49,818.78837,,21617.49,,,,
4,4,2022-09-11 02:03:00,21569.26,21593.55,21568.49,21585.71,510.30117,,21604.778000000002,,,,
5,5,2022-09-11 02:06:00,21585.71,21612.06,21585.33,21607.3,360.64592,,21605.7868,,,,
6,6,2022-09-11 02:09:00,21607.3,21610.82,21588.69,21601.88,524.45149,,21604.22408,,,,
7,7,2022-09-11 02:12:00,21602.38,21606.3,21587.93,21594.58,346.41299,,21600.366448,,,,
8,8,2022-09-11 02:15:00,21594.29,21624.55,21593.56,21617.0,439.52444,,21607.019868800002,,,,
9,9,2022-09-11 02:18:00,21616.5,21625.64,21601.84,21604.25,364.88737,,21605.91192128,,,,
10,10,2022-09-11 02:21:00,21604.24,21622.19,21602.79,21611.21,400.42962,,21608.031152768,,,,
11,11,2022-09-11 02:24:00,21611.21,21616.38,21601.37,21607.83,294.72548,,21607.9506916608,,,,
12,12,2022-09-11 02:27:00,21607.83,21607.83,21567.54,21578.63,402.7665,,21596.222414996482,,,,
13,13,2022-09-11 02:30:00,21578.63,21579.17,21509.72,21524.1,737.39346,,21567.37344899789,,,,
14,14,2022-09-11 02:33:00,21523.17,21532.65,21477.0,21497.18,627.0435,26.599604221634856,21539.296069398733,21593.308666666664,,,
15,15,2022-09-11 02:36:00,21497.18,21506.73,21478.42,21492.99,590.98911,26.20954637948443,21520.77364163924,21580.76883333333,,,
16,16,2022-09-11 02:39:00,21492.26,21514.85,21491.03,21498.07,428.74747,27.59582905809893,21511.692184983545,21570.431479166666,,,
17,17,2022-09-11 02:42:00,21497.05,21498.53,21480.64,21488.0,510.4941,26.53176399548718,21502.215310990126,21560.127544270832,,,
18,18,2022-09-11 02:45:00,21489.01,21506.03,21484.82,21494.98,415.41737,28.58723438865335,21499.321186594076,21551.98410123698,,,
19,19,2022-09-11 02:48:00,21494.54,21504.87,21483.16,21489.75,404.71599,27.956103831630674,21495.492711956445,21544.20483858236,,,
20,20,2022-09-11 02:51:00,21489.92,21495.9,21455.85,21460.0,557.98788,24.625641119096752,21481.295627173866,21533.67923375956,,,
21,21,2022-09-11 02:54:00,21460.0,21491.93,21450.01,21490.88,489.1799,33.48356422169767,21485.12937630432,21528.329329539618,,,
22,22,2022-09-11 02:57:00,21490.88,21516.48,21484.57,21507.1,630.06991,37.629707419921424,21493.917625782593,21525.675663347167,,,
23,23,2022-09-11 03:00:00,21505.86,21522.84,21504.44,21511.86,321.07812,38.83463701431067,21501.094575469557,21523.94870542877,,,
24,24,2022-09-11 03:03:00,21511.86,21539.4,21510.93,21538.85,501.70844,45.28881086292037,21516.196745281733,21525.811367250175,6.223079844556196,-45.32431825873027,51.54739810328647
25,25,2022-09-11 03:06:00,21538.35,21543.42,21525.02,21536.92,386.86349,44.92376256073685,21524.48604716904,21527.199946343902,9.899718097742152,-36.82831266542682,46.728030763168974
26,26,2022-09-11 03:09:00,21536.92,21541.45,21526.31,21533.81,359.12558,44.30404956606527,21528.215628301426,21528.026203050915,8.42321642886236,-29.866538958613102,38.289755387475466
27,27,2022-09-11 03:12:00,21533.86,21548.08,21532.44,21542.46,359.80223,46.514060929795264,21533.913376980854,21529.83042766955,11.861274486396724,-23.44687535168851,35.308149838085235
28,28,2022-09-11 03:15:00,21542.26,21552.13,21536.79,21550.66,430.67085,48.59637881844895,21540.61202618851,21532.434124210857,16.173489082008018,-17.35143466958135,33.52492375158937
29,29,2022-09-11 03:18:00,21550.66,21565.0,21545.94,21551.29,490.22509,48.76142891968713,21544.883215713107,21534.791108684498,16.31759649122978,-12.171583721764254,28.489180212994032
30,30,2022-09-11 03:21:00,21550.92,21557.4,21514.58,21555.8,495.7428,49.999142646793885,21549.249929427864,21537.417220098934,17.314107832447917,-7.635323482654689,24.949431315102608
31,31,2022-09-11 03:24:00,21555.8,21557.87,21536.13,21552.46,383.47728,49.05409634743278,21550.533957656717,21539.297567586567,14.281623745915567,-4.263485447490034,18.5451091934056
32,32,2022-09-11 03:27:00,21553.37,21557.97,21522.47,21531.13,351.38066,43.410977860142125,21542.77237459403,21538.276621638248,0.7600951212843938,-3.490626898447814,4.250722019732208
33,33,2022-09-11 03:30:00,21529.96,21543.26,21525.01,21540.63,304.67098,46.37013498886988,21541.91542475642,21538.570793933468,1.852978396720573,-2.668533776114216,4.52151217283479
34,34,2022-09-11 03:33:00,21539.75,21542.13,21529.65,21537.24,319.18701,45.4566652070402,21540.045254853852,21538.404444691783,0.19599104102599085,-2.227837650400338,2.423828691426329
