,Unnamed: 0,time,open,high,low,close,volume,RSI_14,ema_4,ema_15,macd,macdSignal,macdHist
24,24,2022-09-12 11:35:00,22281.55,22287.93,22261.62,22282.6,310.32493,73.76289343017099,22268.471330674445,22234.921302830244,39.99317828228595,38.73094791084168,1.262230371444275
25,25,2022-09-12 11:36:00,22282.6,22289.2,22266.32,22281.45,263.10953,73.30722224400219,22273.662798404668,22240.737389976464,36.31000230363861,38.35849474050274,-2.04849243686413
26,26,2022-09-12 11:37:00,22281.44,22286.85,22272.21,22275.44,209.87201,70.84414023311656,22274.3736790428,22245.075216229405,28.81308459392676,36.88997010256798,-8.076885508641219
27,27,2022-09-12 11:38:00,22276.63,22287.23,22272.89,22275.88,210.78457,70.92117236015825,22274.97620742568,22248.92581420073,24.320811958328704,34.956253464992706,-10.635441506664002
28,28,2022-09-12 11:39:00,22275.22,22297.43,22257.06,22295.8,306.85589,74.23951625835635,22283.305724455407,22254.78508742564,31.48519435619528,34.422244371331566,-2.937050015136286
29,29,2022-09-12 11:40:00,22297.21,22349.99,22277.31,22309.08,919.28471,76.19022825741352,22293.615434673244,22261.571951497433,37.83888755058433,34.9478817835243,2.8910057670600295
30,30,2022-09-12 11:41:00,22309.1,22319.12,22294.28,22306.76,349.56293,75.12001725010606,22298.873260803946,22267.220457560255,35.07360891335702,34.967224418883184,0.10638449447383636
31,31,2022-09-12 11:42:00,22306.75,22369.99,22305.73,22341.89,875.33409,79.75686432509511,22316.07995648237,22276.554150365224,49.893096514744684,37.26351243363111,12.629584081113578
32,32,2022-09-12 11:43:00,22341.98,22369.08,22333.96,22338.09,367.78443,78.06212389003538,22324.88397388942,22284.24613156957,47.71267324272776,38.87107563503059,8.841597607697167
33,33,2022-09-12 11:44:00,22338.09,22368.24,22324.4,22357.61,445.80396,80.36963782640761,22337.97438433365,22293.416615123373,53.252313342567504,41.083573743882425,12.168739598685079
34,34,2022-09-12 11:45:00,22356.47,22472.68,22348.03,22392.19,1790.17774,83.6504754698787,22359.66063060019,22305.763288232953,68.5617815187361,45.310990324629145,23.250791194106952
35,35,2022-09-12 11:46:00,22392.19,22416.03,22363.33,22395.85,750.19503,83.95611308280347,22374.136378360112,22317.024127203833,68.84213619018556,48.93116661163782,19.910969578547736
36,36,2022-09-12 11:47:00,22394.02,22403.83,22359.12,22376.81,770.64024,75.99693385072716,22375.205827016067,22324.497361303354,52.649159878368664,49.50316557575026,3.145994302618405
37,37,2022-09-12 11:48:00,22376.81,22413.51,22365.1,22401.35,508.6694,78.78811215504841,22385.66349620964,22334.103941140434,56.37926362131839,50.56102681352997,5.818236807788416
38,38,2022-09-12 11:49:00,22400.32,22408.02,22315.21,22337.87,544.38728,59.51022297836243,22366.546097725783,22334.57469849788,18.589359047386097,45.64230869566168,-27.052949648275586
39,39,2022-09-12 11:50:00,22336.42,22400.12,22328.12,22391.0,651.68735,66.82632774158718,22376.32765863547,22341.627861185643,34.355888032929215,43.90593628601054,-9.550048253081322
40,40,2022-09-12 11:51:00,22391.0,22400.02,22343.1,22348.84,789.8715,57.8877812323157,22365.33259518128,22342.529378537438,13.371473025825253,39.20832655367434,-25.836853527849087
41,41,2022-09-12 11:52:00,22350.2,22359.05,22335.9,22343.34,420.80943,56.820036139439566,22356.535557108768,22342.630706220258,3.187399977035966,33.666645541883824,-30.479245564847858
42,42,2022-09-12 11:53:00,22342.21,22345.8,22300.71,22324.52,510.1915,53.20373635152965,22343.72933426526,22340.366867942725,-10.075323346129153,26.937111866804905,-37.01243521293406
43,43,2022-09-12 11:54:00,22324.52,22340.0,22301.3,22334.13,373.95492,54.78616000269299,22339.889600559156,22339.587259449883,-7.885859119833185,21.57973171501443,-29.465590834847614
44,44,2022-09-12 11:55:00,22334.13,22337.18,22300.0,22311.99,270.51413,50.54550413135951,22328.729760335493,22336.137602018647,-18.360381977137877,15.43509883929869,-33.795480816436566
45,45,2022-09-12 11:56:00,22311.99,22324.77,22291.22,22299.22,354.01838,48.226783475883074,22316.925856201295,22331.522901766315,-26.564987960173312,8.973547023995305,-35.53853498416862
46,46,2022-09-12 11:57:00,22298.96,22328.1,22295.84,22327.06,265.51311,53.26075346798724,22320.979513720777,22330.965039045524,-11.725875203257601,5.789020527494857,-17.514895730752457
47,47,2022-09-12 11:58:00,22326.03,22333.0,22306.3,22316.55,221.5897,51.23543164234856,22319.207708232465,22329.163159164833,-12.002053722080746,3.051932181406303,-15.05398590348705
48,48,2022-09-12 11:59:00,22315.95,22327.47,22310.0,22312.75,190.8662,50.48788299244057,22316.62462493948,22327.11151426923,-13.041656074441562,0.5759955266604777,-13.61765160110204
49,49,2022-09-12 12:00:00,22313.57,22340.22,22295.23,22301.05,398.72246,48.15804942195127,22310.394774963686,22323.853824985574,-18.422727325174492,-2.346884912083364,-16.075842413091127
50,50,2022-09-12 12:01:00,22300.86,22335.37,22294.8,22305.92,393.79084,49.20869181291657,22308.60486497821,22321.612096862376,-15.742349924261362,-4.407725683187671,-11.33462424107369
51,51,2022-09-12 12:02:00,22304.85,22306.7,22271.8,22281.18,488.43367,44.29728292383176,22297.634918986925,22316.55808475458,-26.76336534850634,-7.847054862467466,-18.916310486038874
52,52,2022-09-12 12:03:00,22282.12,22297.07,22278.55,22284.36,215.99549,45.0563736752317,22292.324951392155,22312.533324160257,-25.87224844008597,-10.620161566716467,-15.252086873369501
53,53,2022-09-12 12:04:00,22284.36,22304.54,22276.51,22289.96,236.65218,46.44057362071304,22291.378970835292,22309.711658640226,-20.328392582981905,-12.113735569218843,-8.214657013763063
54,54,2022-09-12 12:05:00,22288.4,22297.13,22282.57,22288.43,203.36937,46.098861959863086,22290.199382501174,22307.0514513102,-17.735865994662163,-12.978678711594739,-4.757187283067424
55,55,2022-09-12 12:06:00,22289.8,22341.22,22288.43,22320.47,430.74179,53.77018300099348,22302.307629500705,22308.728769896425,1.677607552599511,-10.723865440180239,12.40147299277975
56,56,2022-09-12 12:07:00,22318.87,22336.34,22310.07,22332.13,252.89712,56.21255895411716,22314.236577700423,22311.65392365937,13.355490350466425,-7.019349164696136,20.374839515162563
57,57,2022-09-12 12:08:00,22332.95,22359.5,22307.0,22325.02,330.40446,54.32774808129422,22318.549946620253,22313.32468320195,11.749946238698612,-4.131765256481559,15.881711495180172
58,58,2022-09-12 12:09:00,22325.01,22334.24,22308.0,22315.15,306.97506,51.73448380276601,22317.189967972154,22313.552847801708,4.977682718526921,-2.7303117218648696,7.707994440391791
59,59,2022-09-12 12:10:00,22316.53,22323.12,22307.0,22318.33,241.35397,52.520846123430665,22317.645980783294,22314.149991826496,4.27479034883072,-1.652603710988625,5.9273940598193455
60,60,2022-09-12 12:11:00,22317.1,22322.98,22303.77,22316.42,211.77089,51.973129978012025,22317.155588469977,22314.433742848185,2.6730845221318305,-0.9871132135854779,3.6601977357173086
61,61,2022-09-12 12:12:00,22316.2,22324.45,22309.36,22322.35,231.36759,53.59131832797157,22319.233353081985,22315.42327499216,5.135428659119498,-0.04518369470778927,5.1806123538272875
62,62,2022-09-12 12:13:00,22322.38,22324.45,22306.6,22313.6,128.62968,50.86782689247392,22316.98001184919,22315.19536561814,0.7236233067706053,0.07309430551965605,0.6505290012509493
63,63,2022-09-12 12:14:00,22313.01,22344.69,22311.07,22343.28,155.40372,58.560639372303655,22327.500007109513,22318.705944915873,15.214113022157107,2.402481800386956,12.811631221770151
