,time,open,high,low,close,volume,RSI_14
0,2022-09-12 11:11:00,22111.42,22129.7,22109.67,22121.04,158.1805,
1,2022-09-12 11:12:00,22121.04,22136.81,22116.68,22133.52,140.36926,
2,2022-09-12 11:13:00,22134.06,22134.69,22116.95,22120.76,190.31365,
3,2022-09-12 11:14:00,22120.76,22121.16,22104.33,22107.75,165.99519,
4,2022-09-12 11:15:00,22107.75,22125.95,22106.0,22122.73,214.7971,
5,2022-09-12 11:16:00,22122.72,22174.42,22115.92,22170.72,386.44592,
6,2022-09-12 11:17:00,22170.73,22188.73,22168.13,22184.56,371.75158,
7,2022-09-12 11:18:00,22184.56,22210.32,22180.26,22199.52,368.84976,
8,2022-09-12 11:19:00,22200.41,22208.08,22183.36,22197.95,241.73543,
9,2022-09-12 11:20:00,22197.95,22198.9,22169.28,22183.5,211.46168,
10,2022-09-12 11:21:00,22183.5,22211.41,22179.1,22204.32,261.18424,
11,2022-09-12 11:22:00,22204.32,22226.85,22202.59,22204.72,283.22873,
12,2022-09-12 11:23:00,22205.91,22256.94,22201.41,22240.2,515.35353,
13,2022-09-12 11:24:00,22240.18,22251.38,22223.69,22225.57,320.12982,
14,2022-09-12 11:25:00,22225.57,22272.03,22214.7,22255.09,443.81425,77.147717607031
15,2022-09-12 11:26:00,22253.68,22262.37,22224.53,22247.21,293.45501,74.58409766588576
16,2022-09-12 11:27:00,22247.24,22255.03,22231.95,22250.28,253.87504,74.93357562301269
17,2022-09-12 11:28:00,22249.02,22255.1,22241.22,22245.04,203.36228,73.08631606639156
18,2022-09-12 11:29:00,22245.05,22255.2,22234.62,22237.42,236.96683,70.36959599732545
19,2022-09-12 11:30:00,22237.42,22245.02,22226.95,22229.03,230.18561,67.39893216992662
20,2022-09-12 11:31:00,22229.03,22237.79,22220.78,22231.54,192.67788,67.83638352804951
21,2022-09-12 11:32:00,22231.54,22257.56,22229.59,22254.9,206.07543,71.64920898604498
22,2022-09-12 11:33:00,22253.91,22255.76,22235.59,22246.15,226.33364,68.37936514618224
23,2022-09-12 11:34:00,22247.77,22287.91,22245.05,22281.55,370.18861,73.62389102736083
24,2022-09-12 11:35:00,22281.55,22287.93,22261.62,22282.6,310.32493,73.76289343017099
25,2022-09-12 11:36:00,22282.6,22289.2,22266.32,22281.45,263.10953,73.30722224400219
26,2022-09-12 11:37:00,22281.44,22286.85,22272.21,22275.44,209.87201,70.84414023311656
27,2022-09-12 11:38:00,22276.63,22287.23,22272.89,22275.88,210.78457,70.92117236015825
28,2022-09-12 11:39:00,22275.22,22297.43,22257.06,22295.8,306.85589,74.23951625835635
29,2022-09-12 11:40:00,22297.21,22349.99,22277.31,22309.08,919.28471,76.19022825741352
30,2022-09-12 11:41:00,22309.1,22319.12,22294.28,22306.76,349.56293,75.12001725010606
31,2022-09-12 11:42:00,22306.75,22369.99,22305.73,22341.89,875.33409,79.75686432509511
32,2022-09-12 11:43:00,22341.98,22369.08,22333.96,22338.09,367.78443,78.06212389003538
33,2022-09-12 11:44:00,22338.09,22368.24,22324.4,22357.61,445.80396,80.36963782640761
34,2022-09-12 11:45:00,22356.47,22472.68,22348.03,22392.19,1790.17774,83.6504754698787
35,2022-09-12 11:46:00,22392.19,22416.03,22363.33,22395.85,750.19503,83.95611308280347
36,2022-09-12 11:47:00,22394.02,22403.83,22359.12,22376.81,770.64024,75.99693385072716
37,2022-09-12 11:48:00,22376.81,22413.51,22365.1,22401.35,508.6694,78.78811215504841
38,2022-09-12 11:49:00,22400.32,22408.02,22315.21,22337.87,544.38728,59.51022297836243
39,2022-09-12 11:50:00,22336.42,22400.12,22328.12,22391.0,651.68735,66.82632774158718
40,2022-09-12 11:51:00,22391.0,22400.02,22343.1,22348.84,789.8715,57.8877812323157
41,2022-09-12 11:52:00,22350.2,22359.05,22335.9,22343.34,420.80943,56.820036139439566
42,2022-09-12 11:53:00,22342.21,22345.8,22300.71,22324.52,510.1915,53.20373635152965
43,2022-09-12 11:54:00,22324.52,22340.0,22301.3,22334.13,373.95492,54.78616000269299
44,2022-09-12 11:55:00,22334.13,22337.18,22300.0,22311.99,270.51413,50.54550413135951
45,2022-09-12 11:56:00,22311.99,22324.77,22291.22,22299.22,354.01838,48.226783475883074
